_time,_measurement,_field,_value
2023-07-06 12:12:55.532906+02:00,PC,GPU_temp,68.0
2023-07-06 12:13:05.590467+02:00,PC,GPU_temp,68.0
2023-07-06 12:13:15.672730+02:00,PC,GPU_temp,68.0
2023-07-06 12:13:25.717703+02:00,PC,GPU_temp,68.0
2023-07-06 12:13:35.778817+02:00,PC,GPU_temp,69.0
2023-07-06 12:13:45.845392+02:00,PC,GPU_temp,69.0
2023-07-06 12:13:55.917060+02:00,PC,GPU_temp,69.0
2023-07-06 12:14:05.970831+02:00,PC,GPU_temp,69.0
2023-07-06 12:14:16.090051+02:00,PC,GPU_temp,68.0
2023-07-06 12:14:26.119996+02:00,PC,GPU_temp,68.0
2023-07-06 12:14:36.187933+02:00,PC,GPU_temp,68.0
2023-07-06 12:14:46.219892+02:00,PC,GPU_temp,67.0
2023-07-06 12:14:56.289134+02:00,PC,GPU_temp,68.0
2023-07-06 12:15:06.381086+02:00,PC,GPU_temp,69.0
2023-07-06 12:15:16.455510+02:00,PC,GPU_temp,69.0
2023-07-06 12:15:26.495206+02:00,PC,GPU_temp,68.0
2023-07-06 12:15:36.577515+02:00,PC,GPU_temp,68.0
2023-07-06 12:15:46.657346+02:00,PC,GPU_temp,68.0
2023-07-06 12:15:56.713481+02:00,PC,GPU_temp,68.0
2023-07-06 12:16:06.754058+02:00,PC,GPU_temp,69.0
2023-07-06 12:16:16.801166+02:00,PC,GPU_temp,69.0
2023-07-06 12:16:26.872257+02:00,PC,GPU_temp,69.0
2023-07-06 12:16:36.943409+02:00,PC,GPU_temp,69.0
2023-07-06 12:16:47.045814+02:00,PC,GPU_temp,68.0
2023-07-06 12:16:57.094959+02:00,PC,GPU_temp,68.0
2023-07-06 12:17:07.162512+02:00,PC,GPU_temp,68.0
2023-07-06 12:17:17.280602+02:00,PC,GPU_temp,68.0
2023-07-06 12:17:27.328241+02:00,PC,GPU_temp,68.0
2023-07-06 12:17:37.365786+02:00,PC,GPU_temp,68.0
2023-07-06 12:17:47.454965+02:00,PC,GPU_temp,68.0
2023-07-06 12:17:57.485894+02:00,PC,GPU_temp,68.0
2023-07-06 12:18:07.538906+02:00,PC,GPU_temp,68.0
2023-07-06 12:18:17.625362+02:00,PC,GPU_temp,69.0
2023-07-06 12:18:27.687277+02:00,PC,GPU_temp,69.0
2023-07-06 12:18:37.786920+02:00,PC,GPU_temp,68.0
2023-07-06 12:18:47.851120+02:00,PC,GPU_temp,68.0
2023-07-06 12:18:57.907085+02:00,PC,GPU_temp,68.0
